name,supplier,supplierid,smiles,molclass,amount,unit,platebarcode,samplebarcode
ZINC00000018,eMolecules,1406678,CC(C)C[C@@H]1C(=O)N(C(=S)N1)CC=C,hts,1,mg,x1,10000001
ZINC00000023,MicroSource Pharmakon,02300166,CC(C)[NH2+]C[C@H](COc1ccccc1CC=C)O,hts,2,mg,x1,10000002
ZINC00000036,TCI,M0038,c1ccc(cc1)[C@@H](C(=O)[O-])O,hts,3,mg,x1,10000003
ZINC00000053,FineTech,FT-0602931,CC(=O)Oc1ccccc1C(=O)[O-],hts,4,mg,x1,10000004
ZINC00000056,BroadPharm,BP-12856,C[NH+]1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3,hts,5,mg,x1,10000005
ZINC00000061,eMolecules,535235,c1cc(ccc1[C@@H](CC(=O)[O-])C[NH3+])Cl,hts,6,mg,x1,10000006
ZINC00000070,Aldrich CPR,PH011184|ALDRICH,C[C@@H](c1ccc2c(c1)nc(o2)c3ccc(cc3)Cl)C(=O)[O-],hts,7,mg,x1,10000007
ZINC00000083,Ambinter Natural Products,Ambmdy01500146,C[C@@H](C[N+](C)(C)C)OC(=O)N,hts,8,mg,x1,10000008
ZINC00000095,Toronto Research Chemicals,B678525,C[NH+](C)CCO[C@H](c1ccccc1)c2ccc(cc2)Br,hts,9,mg,x1,10000009
ZINC00000096,FineTech,FT-0603299,C[NH+](C)CC[C@@H](c1ccc(cc1)Br)c2ccccn2,hts,10,mg,x1,10000010
ZINC00000104,ChemMol,97301157,CC(C)(C)[NH2+]C[C@H](COc1ccccc1C#N)O,hts,11,mg,x1,10000011
ZINC00000106,DrugBank-approved,DB08808,Cc1ccc(c(c1)OC[C@H](C[NH2+]C(C)(C)C)O)Cl,hts,12,mg,x1,10000012
ZINC00000122,Bosche Scientific,C3546,C[NH+](C)CCO[C@@H](c1ccc(cc1)Cl)c2ccccn2,hts,13,mg,x1,10000013
ZINC00000128,Prestwick Chemical,Prestw-446,CC(C)(C)[NH2+]C[C@H](COc1cccc2c1CCC(=O)N2)O,hts,14,mg,x1,10000014
ZINC00000133,BePharm Building Blocks,B13062,CN1[C@@H](S(=O)(=O)CCC1=O)c2ccc(cc2)Cl,hts,15,mg,x1,10000015
ZINC00000135,BroadPharm,BP-20218,c1cc(ccc1OC[C@@H](CO)O)Cl,hts,16,mg,x1,10000016
ZINC00000136,Prestwick Chemical,234,c1cc(ccc1OC[C@@H](COC(=O)N)O)Cl,hts,17,mg,x1,10000017
ZINC00000137,Oakwood Chemical,064585,C[C@@](c1ccccc1)(c2ccc(cc2)Cl)OCC[NH+](C)C,hts,18,mg,x1,10000018
ZINC00000145,FineTech,FT-0623817,c1ccc(cc1)C2(C[C@@H]2C3=[NH+]CCN3)c4ccccc4,hts,19,mg,x1,10000019
